search URL:,https://patents.google.com/?assignee=BYD+Auto%0A&after=priority:20130101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
WO-2015096493-A1,Photovoltaic cell module ,"深圳市比亚迪汽车研发有限公司, 比亚迪股份有限公司","王申存, 孙翔, 姜占锋, 何龙",2013-12-27,2014-08-15,2015-07-02,,https://patents.google.com/patent/WO2015096493A1/en,
WO-2014169722-A1,Hybrid power automobile and engine compartment thereof ,"深圳市比亚迪汽车研发有限公司, 比亚迪股份有限公司","赵自强, 林攀, 刘长久",2013-04-16,2014-01-22,2014-10-23,,https://patents.google.com/patent/WO2014169722A1/en,
WO-2014206375-A1,On-vehicle power supply system and electric vehicle ,"Shenzhen Byd Auto R & D Company Limited, Byd Company Limited","Guangming Yang, Min Hu",2013-06-28,2014-06-30,2014-12-31,,https://patents.google.com/patent/WO2014206375A1/en,
WO-2014139455-A1,Electric vehicle and wireless charging system for the same ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Xingchi WU, Jigang TAN, Hongjun Wang",2013-03-14,2014-03-13,2014-09-18,,https://patents.google.com/patent/WO2014139455A1/en,
WO-2015096479-A1,Zirconium-based amorphous alloy and preparation method therefor ,"深圳市比亚迪汽车研发有限公司, 比亚迪股份有限公司",张法亮,2013-12-26,2014-07-31,2015-07-02,,https://patents.google.com/patent/WO2015096479A1/en,
WO-2014139426-A1,"Composite material, substrate, shell for an electronic device and method of preparing the same ","Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Pinshuang LAN, Jianghui Li, Jianqiang LE, Xiaodong Zhang, Peng Ye",2013-03-12,2014-03-12,2014-09-18,,https://patents.google.com/patent/WO2014139426A1/en,
US-2016134172-A1,Device for generating electricity ,Byd Company Limited,"Hong Xiao, Jianfeng Yang, Conghua Jiang, Xiang Ao, Hu Zhou",2013-07-30,2014-07-30,2016-05-12,,https://patents.google.com/patent/US20160134172A1/en,https://patentimages.storage.googleapis.com/dc/99/45/fe5ceef855f0c8/US20160134172A1-20160512-D00000.png
WO-2014183656-A1,Separator and method for preparing the same ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Xiaofang Chen, Weifeng Miao",2013-05-15,2014-05-15,2014-11-20,,https://patents.google.com/patent/WO2014183656A1/en,
WO-2014173321-A1,Metal-ceramic composite and method of preparing the same ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Qing Gong, Xinping Lin, Yongzhao LIN, Faliang Zhang, Jianxin Chen, Shurong XU",2013-04-27,2014-04-25,2014-10-30,,https://patents.google.com/patent/WO2014173321A1/en,
WO-2014127714-A1,Method and apparatus for detecting touch on capacitive touch screen ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Zhengang Li, Chen Huang, Yun Yang",2013-02-19,2014-02-19,2014-08-28,,https://patents.google.com/patent/WO2014127714A1/en,
WO-2015096492-A1,Photovoltaic cell module ,"深圳市比亚迪汽车研发有限公司, 比亚迪股份有限公司","王申存, 孙翔, 王胜亚, 姜占锋",2013-12-27,2014-08-15,2015-07-02,,https://patents.google.com/patent/WO2015096492A1/en,
WO-2015096490-A1,Dual-glass photovoltaic cell module ,"深圳市比亚迪汽车研发有限公司, 比亚迪股份有限公司","王申存, 孙翔, 姜占锋, 何龙",2013-12-27,2014-08-15,2015-07-02,,https://patents.google.com/patent/WO2015096490A1/en,
WO-2014187331-A1,Method for forming pattern on surface of insulating substrate and ceramic article ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Qiang Xu, Xinping Lin",2013-05-23,2014-05-21,2014-11-27,,https://patents.google.com/patent/WO2014187331A1/en,
WO-2014127716-A1,Method and apparatus for positioning touch point on touch screen ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Zhengang Li, Chen Huang, Yun Yang",2013-02-19,2014-02-19,2014-08-28,,https://patents.google.com/patent/WO2014127716A1/en,
WO-2014127740-A1,Laser processing apparatus and laser processing method ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Qing Gong, Shuming ZHAO, Yanan Wang, Qiuhui CHEN, Liuping TANG, Guocong Chen, Changcai ZHANG",2013-02-25,2014-02-21,2014-08-28,,https://patents.google.com/patent/WO2014127740A1/en,
WO-2015096488-A1,Dual-glass photovoltaic cell module and rim for same ,"深圳市比亚迪汽车研发有限公司, 比亚迪股份有限公司","王申存, 孙翔, 姜占锋, 何龙",2013-12-27,2014-08-15,2015-07-02,,https://patents.google.com/patent/WO2015096488A1/en,
WO-2014176994-A1,Method and device for obtaining high dynamic range image ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Huaren LIU, Shuijiang MAO, Jingjun Fu, Wei FENG",2013-04-28,2014-04-21,2014-11-06,,https://patents.google.com/patent/WO2014176994A1/en,
CN-109994987-A,A kind of current foldback circuit and its over-current protection method based on CPLD ,比亚迪汽车工业有限公司,"李佳佳, 周涛",2017-12-29,2017-12-29,2019-07-09,,https://patents.google.com/patent/CN109994987A/en,
CN-210985764-U,Rotor punching sheet and motor ,"比亚迪股份有限公司, 长沙市比亚迪汽车有限公司","邹小松, 杨宁宁, 牛玉林",2019-11-25,2019-11-25,2020-07-10,2020-07-10,https://patents.google.com/patent/CN210985764U/en,https://patentimages.storage.googleapis.com/3a/a1/8d/23750d05a19f3b/HDA0002287622810000011.png
CN-109606311-A,"Vehicle authentication method, device and storage medium ",比亚迪汽车工业有限公司,"宋慧林, 甘广华",2017-09-30,2017-09-30,2019-04-12,,https://patents.google.com/patent/CN109606311A/en,
CN-104417537-A,"Electric vehicle, control method thereof and system for controlling driving and braking thereof ",长沙市比亚迪汽车有限公司,"赵军, 李英涛, 张鑫鑫, 杜智勇",2013-08-26,2013-08-26,2015-03-18,,https://patents.google.com/patent/CN104417537A/en,
CN-111284566-A,Front floor structure and car ,宁波比亚迪汽车有限公司,"赵洋, 曾锦川, 杨峰, 李岩, 杨艳兵",2018-12-06,2018-12-06,2020-06-16,,https://patents.google.com/patent/CN111284566A/en,https://patentimages.storage.googleapis.com/15/83/66/1b989d3c221abd/HDA0001894686480000011.png
CN-210807100-U,Power transmission circuit ,"比亚迪股份有限公司, 长沙市比亚迪汽车有限公司","凌和平, 黄伟, 潘华, 骆孝龙, 刘建斌",2019-10-18,2019-10-18,2020-06-19,2020-06-19,https://patents.google.com/patent/CN210807100U/en,https://patentimages.storage.googleapis.com/91/1a/8e/700f6072a99407/HDA0002239624680000011.png
WO-2015010540-A1,Hybrid vehicle ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Yinsheng LIAO, Hong Shi, Xuechao Wang",2013-07-24,2014-07-09,2015-01-29,,https://patents.google.com/patent/WO2015010540A1/en,
WO-2014206269-A1,Led support assembly and led module having the same ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Xinping Lin, Qiang Xu",2013-06-27,2014-06-24,2014-12-31,,https://patents.google.com/patent/WO2014206269A1/en,
WO-2014187330-A1,Circuit board and method for fabricating the same ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Qiang Xu, Xinping Lin",2013-05-23,2014-05-21,2014-11-27,,https://patents.google.com/patent/WO2014187330A1/en,
WO-2014166351-A1,"Emergency starting device used for vehicle, vehicle and method for starting vehicle ","Shenzhen Byd Auto R & D Company Limited, Byd Company Limited",Rongfu Zhang,2013-04-11,2014-04-02,2014-10-16,,https://patents.google.com/patent/WO2014166351A1/en,
WO-2014154174-A1,Energy-saving method and sysytem for vehicle and vehicle comprising system ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Song Li, Yanjun Chen, Lin Ren",2013-03-28,2014-03-28,2014-10-02,,https://patents.google.com/patent/WO2014154174A1/en,
CN-205059502-U,Automobile seat ,比亚迪汽车工业有限公司,钟荣,2015-06-26,2015-06-26,2016-03-02,2016-03-02,https://patents.google.com/patent/CN205059502U/en,
CN-104340041-A,Hybrid electric vehicle ,比亚迪汽车有限公司,"廖银生, 施红, 王学超",2013-07-24,2013-07-24,2015-02-11,,https://patents.google.com/patent/CN104340041A/en,
CN-111384738-A,Control method and device of charging protocol ,比亚迪汽车工业有限公司,吴世杰,2018-12-29,2018-12-29,2020-07-07,,https://patents.google.com/patent/CN111384738A/en,https://patentimages.storage.googleapis.com/0b/6c/0b/27724d2c854700/HDA0001931319890000011.png
WO-2014153997-A1,Solar cell back panel and solar cell assembly ,"深圳市比亚迪汽车研发有限公司, 比亚迪股份有限公司","宫清, 周维, 白守萍",2013-03-27,2013-12-26,2014-10-02,,https://patents.google.com/patent/WO2014153997A1/en,
CN-213026399-U,Battery module and vehicle with same ,"比亚迪股份有限公司, 深圳市比亚迪锂电池有限公司","朱相展, 周燕飞, 张中林",2020-09-25,2020-09-25,2021-04-20,2021-04-20,https://patents.google.com/patent/CN213026399U/en,https://patentimages.storage.googleapis.com/5a/6c/f1/e3669c0bffe65a/HDA0002702192220000011.png
CN-111916661-A,"Lithium ion battery flame-retardant material and preparation method thereof, lithium ion battery anode, lithium ion battery cathode, lithium ion battery diaphragm, lithium ion battery and battery module ","比亚迪股份有限公司, 深圳市比亚迪锂电池有限公司","胡家玲, 龚河卿, 郑坤, 单军",2019-05-09,2019-05-09,2020-11-10,,https://patents.google.com/patent/CN111916661A/en,
CN-210806350-U,Power supply cabinet ,"比亚迪股份有限公司, 深圳市比亚迪锂电池有限公司","高云洁, 杨青, 杨科, 徐广东, 吕明海",2019-09-27,2019-09-27,2020-06-19,2020-06-19,https://patents.google.com/patent/CN210806350U/en,https://patentimages.storage.googleapis.com/3a/ae/2c/4968d96b2ecb28/HDA0002219156020000011.png
CN-213660575-U,Battery module and vehicle with same ,"比亚迪股份有限公司, 深圳市比亚迪锂电池有限公司","朱相展, 周燕飞, 张中林",2020-09-25,2020-09-25,2021-07-09,2021-07-09,https://patents.google.com/patent/CN213660575U/en,https://patentimages.storage.googleapis.com/14/a0/9a/6f8694513c9f2c/HDA0002701332290000011.png
US-2014349030-A1,Polymer article and method for selective metallization of the same ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Qing Gong, Wei Zhou, Weifeng Miao",2013-05-23,2014-05-22,2014-11-27,,https://patents.google.com/patent/US20140349030A1/en,
CN-206679475-U,Battery tray and vehicle ,比亚迪股份有限公司,"宫清, 周维, 孙永亮, 孙全",2017-04-01,2017-04-01,2017-11-28,2017-11-28,https://patents.google.com/patent/CN206679475U/en,
CN-110943249-A,Polymer electrolyte and lithium ion battery ,深圳市比亚迪锂电池有限公司,"李婷婷, 刘荣华, 高磊, 单军",2018-09-25,2018-09-25,2020-03-31,,https://patents.google.com/patent/CN110943249A/en,
CN-112038565-A,Pole piece slotting method and device ,深圳市比亚迪锂电池有限公司,"姜新军, 唐晓波, 张小勇, 张剑, 王建军",2020-07-23,2020-07-23,2020-12-04,,https://patents.google.com/patent/CN112038565A/en,https://patentimages.storage.googleapis.com/bf/2a/69/a2dcfd5d244f6d/HDA0002598553740000011.png
CN-207089308-U,A kind of straddle-type monorail bogie and the rail vehicle with it and track traffic ,比亚迪股份有限公司,"杨怡, 谭志成",2017-06-28,2017-06-28,2018-03-13,2018-03-13,https://patents.google.com/patent/CN207089308U/en,
CN-206147096-U,Laser radar and vehicle ,比亚迪股份有限公司,秦桂林,2016-09-30,2016-09-30,2017-05-03,2017-05-03,https://patents.google.com/patent/CN206147096U/en,
CN-110943206-A,"Positive active material, method for preparing same, and battery comprising same ",深圳市比亚迪锂电池有限公司,"段敏, 李阳, 曹文玉, 张运朋",2018-09-25,2018-09-25,2020-03-31,,https://patents.google.com/patent/CN110943206A/en,https://patentimages.storage.googleapis.com/ec/0d/2a/c05f7f124aac09/HDA0001809704790000011.png
CN-111370653-A,"Positive electrode material precursor, preparation method thereof, positive electrode material and battery ",深圳市比亚迪锂电池有限公司,"曹文玉, 徐茶清, 肖怀曙, 苟中平",2018-12-25,2018-12-25,2020-07-03,,https://patents.google.com/patent/CN111370653A/en,https://patentimages.storage.googleapis.com/a8/61/ed/5ccc94228c2beb/HDA0001919680830000011.png
CN-218986369-U,Power chassis domain architecture and vehicle ,"比亚迪股份有限公司, 比亚迪汽车工业有限公司","刘坚坚, 许豪伦, 刘晶, 罗通强, 王丹薇",2022-12-29,2022-12-29,2023-05-09,2023-05-09,https://patents.google.com/patent/CN218986369U/en,https://patentimages.storage.googleapis.com/7c/f9/99/f880e43c20a4fa/HDA0004026192770000011.png
CN-109574090-B,"Nickel cobalt manganese hydroxide, positive electrode material, preparation method of positive electrode material and lithium ion battery ","比亚迪股份有限公司, 深圳市比亚迪锂电池有限公司","游军飞, 陈靖华, 徐茶清, 曹文玉",2017-09-28,2017-09-28,2020-09-15,2020-09-15,https://patents.google.com/patent/CN109574090B/en,https://patentimages.storage.googleapis.com/a5/75/ed/f213190db65542/HDA0001422350190000011.png
CN-109698314-B,Electrolyte and lithium ion battery containing electrolyte and/or cathode ,"比亚迪股份有限公司, 深圳市比亚迪锂电池有限公司","钟海敏, 王圣",2017-10-24,2017-10-24,2021-03-26,2021-03-26,https://patents.google.com/patent/CN109698314B/en,
WO-2015010648-A1,Metal-plastic composite and method for manufacturing the same ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited",Liang Liu,2013-07-25,2014-07-25,2015-01-29,,https://patents.google.com/patent/WO2015010648A1/en,
CN-212604707-U,Multifunctional seat back plate and automobile seat ,比亚迪汽车工业有限公司,"邓鹏�, 邹路",2020-05-26,2020-05-26,2021-02-26,2021-02-26,https://patents.google.com/patent/CN212604707U/en,https://patentimages.storage.googleapis.com/bf/fa/47/2b51ffc2d4e986/HDA0002509437240000011.png
CN-112131094-A,Method and device for testing track signal system software and storage medium ,比亚迪汽车工业有限公司,"蒋琛, 惠冰, 赵吉祥, 杨慧敏, 徐建喜",2019-06-25,2019-06-25,2020-12-25,,https://patents.google.com/patent/CN112131094A/en,https://patentimages.storage.googleapis.com/72/58/ae/7b7db05d8118d8/HDA0002106198000000011.png
WO-2014183644-A1,Solar cell support assembly ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Guangdi Li, Yaoqin HUANG, Hongbin Wang, Long He, Jiaolian Xu, Yong Xie",2013-05-14,2014-05-14,2014-11-20,,https://patents.google.com/patent/WO2014183644A1/en,
CN-109428067-B,"Positive electrode active material, preparation method, positive electrode and high-specific-energy power battery ",深圳市比亚迪锂电池有限公司,"焦晓朋, 李世彩",2017-08-30,2017-08-30,2021-12-07,2021-12-07,https://patents.google.com/patent/CN109428067B/en,https://patentimages.storage.googleapis.com/19/0f/8e/679c415c97234c/HDA0001393649560000011.png
WO-2014173330-A1,Welding strip for solar battery and solar battery assembly ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Zhanfeng Jiang, Shengya Wang, Xiang Sun, Juan HU, Shuili FANG, Junchao CAO",2013-04-27,2014-04-28,2014-10-30,,https://patents.google.com/patent/WO2014173330A1/en,
CN-107919492-A,"lithium ion battery, battery pack and electric bus ",青岛市比亚迪汽车有限公司,"潘仪, 和林林",2016-10-10,2016-10-10,2018-04-17,,https://patents.google.com/patent/CN107919492A/en,
WO-2014173302-A1,Solar cell support assembly ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Jun Ge, Liguo Wang, Hongbin Wang, Long He, Jiaolian Xu",2013-04-25,2014-04-23,2014-10-30,,https://patents.google.com/patent/WO2014173302A1/en,
US-2016072321-A1,Wireless Charging Device and Method Using the Same ,Shenzhen Byd Auto R&D Company Limited,"Minglin Li, Qingchun Yang, Xinhua Zhang, He Huang, Xinwei Cai, Zaixing Yang, Ying Zhou, Yanqin Chen, Xianjun Kong, Dajun Chen",2013-04-15,2014-04-15,2016-03-10,,https://patents.google.com/patent/US20160072321A1/en,https://patentimages.storage.googleapis.com/a1/8d/be/4a73ab82be2656/US20160072321A1-20160310-D00000.png
CN-204136725-U,A kind of interior environment system of electrobus ,长沙市比亚迪汽车有限公司,"李志杰, 肖晓林, 王洪军",2014-07-31,2014-07-31,2015-02-04,2015-02-04,https://patents.google.com/patent/CN204136725U/en,
CN-205060740-U,General skid ,比亚迪汽车工业有限公司,"程丽龙, 蓝凭, 赵寿鹏",2015-08-31,2015-08-31,2016-03-02,2016-03-02,https://patents.google.com/patent/CN205060740U/en,
CN-109428050-B,"Positive electrode active material, preparation method, positive electrode and lithium ion battery ","比亚迪股份有限公司, 深圳市比亚迪锂电池有限公司","焦晓朋, 李世彩",2017-08-30,2017-08-30,2021-12-07,2021-12-07,https://patents.google.com/patent/CN109428050B/en,https://patentimages.storage.googleapis.com/f9/b9/ef/a515452c57ba5c/HDA0001394054720000011.png
CN-203348511-U,Oil jet lubrication system of transmission ,比亚迪汽车工业有限公司,"阮鸥, 别双勇",2013-06-01,2013-06-01,2013-12-18,2013-12-18,https://patents.google.com/patent/CN203348511U/en,https://patentimages.storage.googleapis.com/b1/f1/26/9dfd79dcde463a/HSA00000908014300011.png
CN-112582966-A,Sealing structure of cable and motor with same ,"比亚迪股份有限公司, 比亚迪汽车工业有限公司",丁鹏涛,2019-09-30,2019-09-30,2021-03-30,,https://patents.google.com/patent/CN112582966A/en,https://patentimages.storage.googleapis.com/87/41/2c/f291d7be5885f1/HDA0002223964740000011.png
CN-112748367-A,Battery management system and detection method for battery disconnection fault ,"比亚迪股份有限公司, 比亚迪汽车工业有限公司","曹虎, 王营辉",2019-10-31,2019-10-31,2021-05-04,,https://patents.google.com/patent/CN112748367A/en,https://patentimages.storage.googleapis.com/f0/d1/03/464668e35d3cbe/HDA0002256305090000011.png
